Date (date),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Station Name (station_name),Latitude (latitude),Longitude (longitude),Basin (basin),Sub Basin (sub_basin),Source (source),Depth to Water Level (currentlevel),Level Difference (level_diff)
"2019-08-16","Tamil Nadu","33","Thoothukkudi","594","Karisalkulam","9.15","78.16667","East Flowing Rivers Between Pennar And Kanyakumari","Vaippar And Others","CGWB","10.91","2.05"
"2020-01-09","Telangana","36","Adilabad","501","Syampur","19.4225","78.73944","Godavari","Pranhita And Others","CGWB","2.95","1.4"
"2019-05-30","Uttar Pradesh","9","Bahraich","125","Razichauraha","27.41111","81.37833","Ganga","Ghaghara","CGWB","2.14","0.67"
"2017-04-27","Tamil Nadu","33","Cuddalore","570","Maruthur2","11.49222","79.60278","East Flowing Rivers Between Pennar And Kanyakumari","Ponnaiyar And Other","CGWB","39.8","-2.6"
"2013-03-11","Madhya Pradesh","23","Shajapur","430","Panwadi","23.50444","76.40389","Ganga","Kali Sindh And Others Up To Confluence With Parbati","CGWB","2.56","-7.3"
"2017-12-31","Haryana","6","Bhiwani","59","Sui","28.85694","76.06667","Area Of Inland Drainage In Rajasthan","Area Of Inland Drainage In Rajasthan","CGWB","1.77","0.27"
"2019-01-14","West Bengal","19","Jalpaiguri","314","Jateswar","26.6","89.15","Brahamaputra","Brahmaputra Lower","CGWB","2.3","0.08"
"2016-08-24","Chhattisgarh","22","Jashpur","380","Bangaon B","22.89056","83.81139","Mahanadi","Mahanadi Middle","CGWB","3.4","-4.92"
"2017-11-04","Jammu And Kashmir","1","Jammu","5","Patli","32.60833","74.94583","Indus (Up To Border)","Chenab","CGWB","6.46","1.04"
"2017-05-14","Rajasthan","8","Jodhpur","107","BUJAWAR","26.225","72.90833","West Flowing Rivers Of Kutch And Saurashtra Including Luni","Luni Upper","CGWB","19.34","1.8"
"2014-11-06","West Bengal","19","Bankura","305","Jayrampur1","23.17944","87.33972","Ganga","Damodar","CGWB","3.06","2.01"
"2018-11-04","Karnataka","29","Raichur","546","Gandhalu","15.97639","77.41194","Krishna","Tungabhadra Lower","CGWB","1.85","-0.9"
"2014-11-06","Kerala","32","Kottayam","560","Udayanapuram","9.77278","76.395","West Flowing Rivers From Tadri To Kanyakumari","Periyar And Others","CGWB","1.03","0.33"
"2019-01-07","Chhattisgarh","22","Janjgir-Champa","379","Bamnidihi","21.9","82.71667","Mahanadi","Mahanadi Middle","CGWB","5.5","0.2"
"2020-11-29","Andhra Pradesh","28","Krishna","510","Mandavalli-Dw","16.51","81.15","East Flowing Rivers Between Mahanadi And Pennar","East Flowing Rivers Between Godavari And Krishna","CGWB","0.83","-0.51"
"2016-11-04","Rajasthan","8","Banswara","88","Danakhari","23.5575","74.60111","Mahi","Mahi Upper","CGWB","1.54","-0.02"
"2017-01-04","Bihar","10","Vaishali","224","Tariya Supaul","25.84972","85.44194","Ganga","Gandak And Others","CGWB","3.95","0.65"
"2019-05-26","Goa","30","South Goa","552","Majorda Bpada Curilo","15.32444","73.91778","West Flowing Rivers From Tapi To Tadri","Vasishti And Others","CGWB","5.61","1.19"
"2017-01-04","Karnataka","29","Chamarajanagara","531","Ramapura","12.00278","77.40278","Cauvery","Cauvery Middle","CGWB","8.92","5.11"
"2013-08-24","Chhattisgarh","22","Jashpur","380","Palidih","22.55806","83.50694","Mahanadi","Mahanadi Middle","CGWB","8.2","-0.5"
"2023-02-20","Tamil Nadu","33","Tiruppur","634","Dharapuram2","10.73889","77.52917","Cauvery","Cauvery Middle","CGWB","2.25","-0.15"
