Date (date),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Station Name (station_name),Latitude (latitude),Longitude (longitude),Basin (basin),Sub Basin (sub_basin),Source (source),Depth to Water Level (currentlevel),Level Difference (level_diff)
"2015-06-01","Madhya Pradesh","23","Raisen","421","Silwani","23.3","78.43972","Narmada","Narmada Upper","CGWB","7.38","-1.07"
"2019-05-19","Maharashtra","27","Chhatrapati Sambhajinagar","469","Taherpur","19.65111","75.33528","Godavari","Godavari Upper","CGWB","8.48","1.78"
"2018-01-04","Karnataka","29","Ramanagara","631","Harohalli A","12.68194","77.475","Cauvery","Cauvery Middle","CGWB","1.45","-4.8"
"2016-06-25","West Bengal","19","Hooghly","312","Mirzapur2","22.88889","88.0425","Ganga","Bhagirathi And Others (Ganga Lower)","CGWB","15.32","0.17"
"2013-09-28","Madhya Pradesh","23","Seoni","428","Keolari","22.37139","79.91083","Godavari","Weinganga","CGWB","0.76","-0.64"
"2014-01-04","Andhra Pradesh","28","Sri Potti Sriramulu Nellore","515","Kovvuru","14.49167","79.9875","Pennar","Pennar Lower","CGWB","1.56","0.73"
"2016-11-04","Telangana","36","Khammam","509","Chintur","17.4875","80.13778","Krishna","Krishna Lower","CGWB","3.92","-4.11"
"2014-08-24","Maharashtra","27","Nagpur","484","Paradsinga_Pz","21.31806","78.51944","Godavari","Wardha","CGWB","21.9","7.2"
"2016-11-04","Madhya Pradesh","23","Mandsaur","416","Surjani Npz","24.01667","75.385","Ganga","Chambal Upper","CGWB","10.41","8.45"
"2019-12-08","Tamil Nadu","33","Thoothukkudi","594","Karisalkulam","9.15","78.16667","East Flowing Rivers Between Pennar And Kanyakumari","Vaippar And Others","CGWB","8.86","-2.05"
"2014-01-04","Madhya Pradesh","23","Satna","426","Amdara","24.10389","80.57639","Ganga","Tons","CGWB","7.4","1.25"
"2013-08-24","Karnataka","29","Mandya","544","Mandya koppalu","12.39167","76.8","Cauvery","Cauvery Middle","CGWB","0.2","-0.56"
"2017-01-21","Tamil Nadu","33","Cuddalore","570","Kurinjipadi","11.5625","79.59167","East Flowing Rivers Between Pennar And Kanyakumari","Ponnaiyar And Other","CGWB","5.52","-0.62"
"2021-01-09","Uttar Pradesh","9","Azamgarh","123","Saraimir","26.01667","82.93194","Ganga","Ghaghara Confluence To Gomti Confluence","CGWB","2.4","-0.38"
"2019-11-25","Madhya Pradesh","23","Gwalior","407","Dabra(S)","25.89111","78.33667","Ganga","Yamuna Lower","CGWB","17.44","-3.75"
"2015-12-16","West Bengal","19","Murshidabad","319","Salar2","23.77611","88.10833","Ganga","Bhagirathi And Others (Ganga Lower)","CGWB","21.55","0.3"
"2013-08-24","Bihar","10","Madhubani","206","Khutauna1","26.50028","85.97111","Ganga","Kosi","CGWB","1.4","-3.52"
"2018-07-10","Tamil Nadu","33","Thoothukkudi","594","Karisalkulam","9.15","78.16667","East Flowing Rivers Between Pennar And Kanyakumari","Vaippar And Others","CGWB","10.46","-0.45"
"2018-10-19","Punjab","3","Amritsar","27","Bhankar Kalan-Pz","31.57917","74.71667","Indus (Up To Border)","Ravi","CGWB","18.0","-1.9"
"2016-08-24","Gujarat","24","Surat","459","Sultanabad","21.09167","72.725","West Flowing Rivers From Tapi To Tadri","Bhatsol And Others","CGWB","4.85","-1.92"
"2014-12-29","Madhya Pradesh","23","Seoni","428","Keolari","22.37139","79.91083","Godavari","Weinganga","CGWB","1.4","-1.79"
"2021-01-09","Uttar Pradesh","9","Mau","168","Mau (Urban)","25.94167","83.575","Ganga","Ghaghara Confluence To Gomti Confluence","CGWB","3.67","3.3"
"2018-11-11","Telangana","36","Ranga Reddy","518","Bompalli-Dw","17.11472","77.87083","Krishna","Bhima Lower","CGWB","4.78","-0.03"
"2014-01-04","Chhattisgarh","22","Mahasamund","385","Saraipalli-S PZ","21.32028","83.04306","Mahanadi","Mahanadi Middle","CGWB","11.66","0.96"
"2019-08-02","Tamil Nadu","33","Karur","576","Karur2","10.95833","78.08333","Cauvery","Cauvery Middle","CGWB","5.4","1.35"
"2016-11-06","West Bengal","19","Bankura","305","Mejia","23.39722","86.97083","Ganga","Damodar","CGWB","4.43","3.38"
"2014-11-04","Karnataka","29","Davangere","535","Attigere","14.32194","75.99306","Krishna","Tungabhadra Upper","CGWB","0.74","-2.86"
"2015-11-04","Madhya Pradesh","23","Ashoknagar","391","Damdama","24.36556","77.87472","Ganga","Yamuna Lower","CGWB","1.6","-0.3"
"2019-08-19","Maharashtra","27","Yavatmal","500","Jamwadi","20.3625","78.01667","Godavari","Wardha","CGWB","1.8","-1.2"
"2013-08-24","Tamil Nadu","33","Tiruppur","634","Karamadai","11.24583","77.2125","Cauvery","Cauvery Middle","CGWB","2.58","0.55"
"2017-01-04","Gujarat","24","Banas Kantha","441","Dantiwada","24.18889","72.76056","West Flowing Rivers Of Kutch And Saurashtra Including Luni","Saraswati","CGWB","25.94","-8.29"
"2016-08-24","Jammu And Kashmir","1","Rajouri","12","Bhatta Morh","33.20278","74.20139","Indus (Up To Border)","Chenab","CGWB","1.3","-0.5"
"2019-08-30","Odisha","21","Cuttack","350","C-28 Jagatpur-3 (Nuasahi)","20.51083","85.9325","Mahanadi","Mahanadi Lower","CGWB","2.94","-1.91"
"2014-06-20","West Bengal","19","Hooghly","312","Mirzapur2","22.88889","88.0425","Ganga","Bhagirathi And Others (Ganga Lower)","CGWB","14.27","-0.46"
"2018-12-31","Haryana","6","Yamunanagar","76","Shahabpura-Pz","30.12694","77.115","Indus (Up To Border)","Ghaghar And Others","CGWB","28.12","0.24"
"2018-12-31","Punjab","3","Fatehgarh Sahib","30","Mianpur-Pz","30.51806","76.48194","Indus (Up To Border)","Ghaghar And Others","CGWB","21.25","-0.55"
"2020-01-09","Chhattisgarh","22","Durg","378","Jhalam","21.84083","81.46111","Mahanadi","Mahanadi Upper","CGWB","4.9","0.83"
"2019-01-30","Uttar Pradesh","9","Ayodhya","140","Sarai barai","26.85028","81.71056","Ganga","Ghaghara","CGWB","5.25","0.8"
"2018-08-19","Karnataka","29","Shivamogga","547","Jaddihalli","14.5075","75.05833","Krishna","Tungabhadra Upper","CGWB","8.1","-2.66"
"2016-08-24","Uttar Pradesh","9","Kanpur Nagar","157","Sachendi","26.42917","80.16667","Ganga","Upstream Of Gomti Confluece To Muzaffarnagar","CGWB","2.82","-2.77"
"2013-11-06","Kerala","32","Kottayam","560","Veyilnanampara (Kondur)","9.67167","76.78083","West Flowing Rivers From Tadri To Kanyakumari","Periyar And Others","CGWB","3.36","-0.75"
"2013-01-04","Gujarat","24","Bhavnagar","443","Wadia Pz","21.7775","71.93333","West Flowing Rivers Of Kutch And Saurashtra Including Luni","Shetranjuli And Other East Flowing Rivers","CGWB","94.3","28.57"
"2021-10-15","Tamil Nadu","33","Sivaganga","585","Singapuneri","10.18417","78.42361","East Flowing Rivers Between Pennar And Kanyakumari","Pamba And Others","CGWB","8.8","-1.0"
"2015-03-08","Tamil Nadu","33","Tiruppur","634","Dharapuram2","10.73889","77.52917","Cauvery","Cauvery Middle","CGWB","3.75","-3.5"
"2019-01-09","Rajasthan","8","Ganganagar","100","BANDA COLONY","29.30833","73.22917","Indus (Up To Border)","Ghaghar And Others","CGWB","9.76","-0.04"
"2020-01-09","Gujarat","24","Kachchh","449","Lilpur","23.51111","70.65","West Flowing Rivers Of Kutch And Saurashtra Including Luni","Luni Lower","CGWB","0.35","-0.01"
"2015-01-06","West Bengal","19","Paschim Medinipur","318","Kanthra","22.25","87.29583","Ganga","Damodar","CGWB","5.01","3.86"
"2016-05-14","Jammu And Kashmir","1","Jammu","5","Bakore","32.80556","74.5625","Indus (Up To Border)","Chenab","CGWB","4.86","1.73"
"2017-12-31","Punjab","3","Jalandhar","34","Janian-Pz","31.09444","75.26389","Indus (Up To Border)","Sutlaj Lower","CGWB","33.5","-0.3"
"2017-05-14","Goa","30","North Goa","551","Colval","15.64389","73.83722","West Flowing Rivers From Tapi To Tadri","Vasishti And Others","CGWB","13.07","-1.08"
"2017-05-14","Madhya Pradesh","23","Rewa","424","Raipur","24.57833","81.43667","Ganga","Tons","CGWB","13.1","3.5"
"2018-10-19","Haryana","6","Hisar","63","Bhotal Jattan-DW","29.10556","76.12361","Area Of Inland Drainage In Rajasthan","Area Of Inland Drainage In Rajasthan","CGWB","2.0","-0.6"
"2019-11-22","Kerala","32","Ernakulam","555","Arakuzha","9.92778","76.58361","West Flowing Rivers From Tadri To Kanyakumari","Periyar And Others","CGWB","4.56","0.14"
"2016-11-06","Odisha","21","Ganjam","354","Sorada 1","19.75694","84.43056","East Flowing Rivers Between Mahanadi And Pennar","Vamsadhara And Other","CGWB","1.26","-0.43"
"2013-01-04","Rajasthan","8","Bhilwara","92","JIWANLIYAN","25.51556","74.55778","Ganga","Banas","CGWB","6.55","-0.57"
"2013-05-14","Karnataka","29","Belagavi","527","Saundatti","15.75556","75.25139","Krishna","Krishna Upper","CGWB","7.36","1.28"
"2018-03-24","Assam","18","Dhemaji","284","Bhagaban charali","27.5","94.54444","Brahamaputra","Brahmaputra Upper","CGWB","2.5","-6.3"
"2019-05-29","Tamil Nadu","33","Dindigul","572","Thumbalapatti","10.53333","77.52083","Cauvery","Cauvery Middle","CGWB","7.5","1.85"
"2020-01-09","Karnataka","29","Kolar","542","Lakshmisagara","13.23889","78.28333","East Flowing Rivers Between Pennar And Kanyakumari","Palar And Other","CGWB","39.33","-24.97"
"2019-01-03","Karnataka","29","Davangere","535","Kurki","14.37444","75.97333","Krishna","Tungabhadra Upper","CGWB","3.15","2.44"
"2019-01-12","Assam","18","Dhemaji","284","Bhagaban charali","27.5","94.54444","Brahamaputra","Brahmaputra Upper","CGWB","2.5","-2.37"
"2014-11-04","Andhra Pradesh","28","Sri Potti Sriramulu Nellore","515","Krishnapuram","13.80639","79.95389","East Flowing Rivers Between Pennar And Kanyakumari","Palar And Other","CGWB","4.07","-2.56"
"2019-05-29","Tamil Nadu","33","Pudukkottai","582","Pudukkottai","10.38611","78.80417","East Flowing Rivers Between Pennar And Kanyakumari","Pamba And Others","CGWB","4.84","0.94"
"2017-12-31","Andhra Pradesh","28","Prakasam","517","Tallamalla","15.59583","79.70833","East Flowing Rivers Between Mahanadi And Pennar","East Flowing Rivers Between Krishna And Pennar","CGWB","5.23","1.42"
"2017-03-14","Tamil Nadu","33","Karur","576","Karur2","10.95833","78.08333","Cauvery","Cauvery Middle","CGWB","2.85","-3.35"
"2015-05-14","Rajasthan","8","Bharatpur","91","SIHORA","27.55","77.3","Ganga","Yamuna Middle","CGWB","9.35","0.2"
"2016-01-26","Tamil Nadu","33","Tiruppur","634","Dharapuram2","10.73889","77.52917","Cauvery","Cauvery Middle","CGWB","3.82","-0.48"
"2019-08-10","Karnataka","29","Chikkamagaluru","532","Thali Halla","13.32667","75.72639","Cauvery","Cauvery Upper","CGWB","11.08","-0.12"
"2020-08-24","Chhattisgarh","22","Rajnandgaon","388","Ravagahan","21.11833","81.00583","Mahanadi","Mahanadi Upper","CGWB","2.42","-2.23"
"2013-08-26","Odisha","21","Malkangiri","364","M.V.9","18.3025","81.85333","Godavari","Godavari Lower","CGWB","1.03","-3.62"
"2013-12-10","Assam","18","Dhemaji","284","Bhagaban charali","27.5","94.54444","Brahamaputra","Brahmaputra Upper","CGWB","9.0","2.62"
"2013-08-24","Jammu And Kashmir","1","Rajouri","12","Bagnoti","33.14167","74.3","Indus (Up To Border)","Chenab","CGWB","2.35","-2.45"
"2014-10-30","Rajasthan","8","Alwar","87","RAMGARH1","27.58333","76.80972","Ganga","Yamuna Middle","CGWB","21.95","9.78"
"2017-11-04","Madhya Pradesh","23","Ratlam","423","Mewasa","23.49722","75.06722","Ganga","Chambal Upper","CGWB","7.03","0.03"
"2014-05-14","Andhra Pradesh","28","Guntur","506","Kondamodu","16.45972","79.91944","Krishna","Krishna Lower","CGWB","2.12","1.06"
"2016-04-16","Kerala","32","Kollam","559","Meenad","8.85083","76.69833","West Flowing Rivers From Tadri To Kanyakumari","Periyar And Others","CGWB","4.8","-0.29"
"2019-01-05","Chhattisgarh","22","Raigarh","386","Sisringa","22.45556","83.30694","Mahanadi","Mahanadi Middle","CGWB","5.89","-0.11"
"2018-01-09","Jharkhand","20","West Singhbhum","343","Bandgaon","22.84167","85.32917","Brahmani And Baitarni","Brahmani","CGWB","6.69","2.1"
"2021-01-09","Maharashtra","27","Yavatmal","500","Yavatmal","20.39111","78.12778","Godavari","Wardha","CGWB","2.2","1.4"
"2019-05-30","Madhya Pradesh","23","Seoni","428","Lakhnadon1","22.59861","79.6125","Narmada","Narmada Upper","CGWB","4.9","1.85"
"2013-04-16","West Bengal","19","South 24 Parganas","304","Uttar Hazipur","22.19833","88.18583","Ganga","Bhagirathi And Others (Ganga Lower)","CGWB","1.23","-0.25"
"2015-03-25","Tamil Nadu","33","Sivaganga","585","Singapuneri","10.18417","78.42361","East Flowing Rivers Between Pennar And Kanyakumari","Pamba And Others","CGWB","6.88","-0.27"
"2018-11-08","Tripura","16","West Tripura","272","Khowai","24.08194","91.61611","Barak And Others","Naoch Chara And Others","CGWB","1.88","0.7"
"2015-11-04","Maharashtra","27","Satara","494","Morgiri (Shivpurpeth)","17.32167","73.895","Krishna","Krishna Upper","CGWB","1.5","0.4"
"2019-01-06","Chhattisgarh","22","Korba","383","Banbandha","22.39167","82.38056","Mahanadi","Mahanadi Upper","CGWB","2.8","1.75"
"2016-08-24","Telangana","36","Medak","513","Polampalli","17.975","78.44167","Godavari","Manjra","CGWB","4.45","-1.05"
"2014-05-14","Karnataka","29","Bengaluru Urban","525","Kodigehalli","13.05972","77.57694","East Flowing Rivers Between Pennar And Kanyakumari","Ponnaiyar And Other","CGWB","4.24","-0.19"
"2017-05-22","Assam","18","Dhemaji","284","Bhagaban charali","27.5","94.54444","Brahamaputra","Brahmaputra Upper","CGWB","9.35","6.85"
"2017-05-14","Telangana","36","Ranga Reddy","518","Shamshabad1","17.25833","78.39861","Krishna","Krishna Lower","CGWB","13.7","2.06"
"2019-08-26","Kerala","32","Kozhikode","561","Kayapanachi","11.72","75.63361","West Flowing Rivers From Tadri To Kanyakumari","Varrar And Others","CGWB","2.79","-2.78"
"2015-01-06","Odisha","21","Khordha","362","B-27 Patia","20.36889","85.80889","Mahanadi","Mahanadi Lower","CGWB","2.1","0.5"
"2014-08-24","Rajasthan","8","Chittorgarh","95","KAPASAN1","24.86111","74.30833","Ganga","Banas","CGWB","2.3","-2.88"
"2018-11-04","Karnataka","29","Davangere","535","Harihara Pz","14.51528","75.80833","Krishna","Tungabhadra Upper","CGWB","6.88","-0.3"
"2018-10-31","Punjab","3","Sangrur","43","Lehal Kalan-Pz","30.56389","76.01806","Indus (Up To Border)","Sutlaj Lower","CGWB","32.8","-0.25"
"2016-04-16","Odisha","21","Puri","369","Konark 1","19.88639","86.09667","Mahanadi","Mahanadi Lower","CGWB","4.1","0.2"
"2020-03-27","Assam","18","Dhemaji","284","Bhagaban charali","27.5","94.54444","Brahamaputra","Brahmaputra Upper","CGWB","2.5","-7.0"
"2014-01-04","Bihar","10","Khagaria","202","Pirnasara","25.61083","86.72917","Ganga","Kosi","CGWB","3.6","0.48"
"2014-01-04","Madhya Pradesh","23","Mandsaur","416","Fatehgarh Npz","23.98167","75.10333","Ganga","Chambal Upper","CGWB","5.14","1.42"
"2014-01-04","Rajasthan","8","Dausa","97","LAWAN1","26.78333","76.21667","Ganga","Banas","CGWB","32.56","-10.39"
"2014-05-14","Madhya Pradesh","23","Umaria","436","Parasi","23.66444","80.94361","Ganga","Sone","CGWB","6.14","0.79"
"2017-08-26","West Bengal","19","Bankura","305","Kharkasuli","23.03333","87.31667","Ganga","Damodar","CGWB","1.35","-2.33"
"2018-11-29","Uttar Pradesh","9","Rae Bareli","175","Dhonda ka purwa","26.31111","81.37333","Ganga","Gomti","CGWB","2.51","1.88"
"2014-03-01","Madhya Pradesh","23","Seoni","428","Keolari","22.37139","79.91083","Godavari","Weinganga","CGWB","1.7","0.3"
"2015-01-04","Tamil Nadu","33","Namakkal","580","Ayilpatti","11.53333","78.35","East Flowing Rivers Between Pennar And Kanyakumari","Ponnaiyar And Other","CGWB","15.4","-0.8"
"2013-11-22","Tamil Nadu","33","Ramanathapuram","583","Ramanathapuram2","9.36667","78.78333","East Flowing Rivers Between Pennar And Kanyakumari","Pamba And Others","CGWB","0.68","-3.32"
"2013-01-04","Karnataka","29","Dakshina Kannada","534","Panja","12.67861","75.48694","West Flowing Rivers From Tadri To Kanyakumari","Netravati And Others","CGWB","5.6","1.43"
"2017-01-04","Punjab","3","Moga","38","Himatpura-Pz","30.52778","75.3625","Indus (Up To Border)","Sutlaj Lower","CGWB","29.05","-0.7"
"2017-08-26","Kerala","32","Alappuzha","554","Thevery","9.23333","76.54167","West Flowing Rivers From Tadri To Kanyakumari","Periyar And Others","CGWB","0.7","-1.83"
"2013-08-24","Bihar","10","Purbi Champaran","213","Ghorashan","26.81667","85.14167","Ganga","Gandak And Others","CGWB","1.62","-3.11"
"2017-05-14","Telangana","36","Karimnagar","508","Mohanraopet1","18.81111","78.78333","Godavari","Pranhita And Others","CGWB","3.12","0.45"
"2014-08-26","Kerala","32","Idukki","556","Cheenikuzhi","9.91528","76.88333","West Flowing Rivers From Tadri To Kanyakumari","Periyar And Others","CGWB","0.94","-2.22"
"2016-08-26","Odisha","21","Koraput","363","Sasanhandi-ii","19.10889","82.47389","Godavari","Indravati","CGWB","1.0","-0.2"
"2017-11-04","Karnataka","29","Bidar","529","Borgi","18.03111","77.04028","Godavari","Manjra","CGWB","1.64","-1.43"
"2022-05-31","Tamil Nadu","33","Cuddalore","570","Kurinjipadi","11.5625","79.59167","East Flowing Rivers Between Pennar And Kanyakumari","Ponnaiyar And Other","CGWB","4.94","4.09"
"2016-07-27","Tamil Nadu","33","Sivaganga","585","Singapuneri","10.18417","78.42361","East Flowing Rivers Between Pennar And Kanyakumari","Pamba And Others","CGWB","8.38","0.28"
"2022-07-23","Tamil Nadu","33","Sivaganga","585","Singapuneri","10.18417","78.42361","East Flowing Rivers Between Pennar And Kanyakumari","Pamba And Others","CGWB","9.8","1.0"
"2014-05-14","Rajasthan","8","Bikaner","93","6 PB","28.66944","72.75","Area Of Inland Drainage In Rajasthan","Area Of Inland Drainage In Rajasthan","CGWB","17.9","4.0"
"2013-10-21","Tamil Nadu","33","Ramanathapuram","583","Ramanathapuram2","9.36667","78.78333","East Flowing Rivers Between Pennar And Kanyakumari","Pamba And Others","CGWB","4.3","3.62"
"2019-11-09","Rajasthan","8","Jaisalmer","103","Bhavanipura Deep","27.72028","71.98056","Area Of Inland Drainage In Rajasthan","Area Of Inland Drainage In Rajasthan","CGWB","13.6","-1.01"
"2015-05-14","Tamil Nadu","33","Tiruchirappalli","591","Pullambadi","11.04583","78.95833","Cauvery","Cauvery Lower","CGWB","4.89","1.89"
"2017-05-14","Himachal Pradesh","2","Solan","25","Dhabota","31.08778","76.63472","Indus (Up To Border)","Sutlaj Lower","CGWB","14.09","1.13"
"2018-08-30","Delhi","7","South West","84","Ojwah Pz","28.57667","76.91417","Ganga","Yamuna Upper","CGWB","15.04","-0.98"
"2016-08-24","Karnataka","29","Dakshina Kannada","534","Vittal","12.76667","75.10833","West Flowing Rivers From Tadri To Kanyakumari","Netravati And Others","CGWB","8.7","-2.88"
"2014-05-14","Tamil Nadu","33","Thiruvallur","589","Tirumangalam1","13.08333","80.2","East Flowing Rivers Between Pennar And Kanyakumari","Palar And Other","CGWB","5.34","5.33"
"2017-08-24","Andhra Pradesh","28","Prakasam","517","Guttalaumadivrm","16.0125","79.5625","East Flowing Rivers Between Mahanadi And Pennar","East Flowing Rivers Between Krishna And Pennar","CGWB","6.95","-0.2"
"2015-01-06","Odisha","21","Mayurbhanj","365","Bedhakudar","22.21056","86.55611","Subernarekha","Subernarekha","CGWB","3.89","0.81"
"2019-08-19","Andhra Pradesh","28","Guntur","506","Gurzala","16.55833","79.64167","Krishna","Krishna Lower","CGWB","0.4","-0.26"
"2013-09-24","Chhattisgarh","22","Bilaspur","375","Sipat","22.14583","82.27917","Mahanadi","Mahanadi Upper","CGWB","13.7","12.82"
"2016-03-20","Tamil Nadu","33","Cuddalore","570","Kurinjipadi","11.5625","79.59167","East Flowing Rivers Between Pennar And Kanyakumari","Ponnaiyar And Other","CGWB","0.78","-4.74"
"2019-01-11","Madhya Pradesh","23","Sehore","427","Nadan","22.89722","77.12222","Narmada","Narmada Middle","CGWB","4.35","1.31"
"2019-11-23","Karnataka","29","Belagavi","527","Hire bagewadi","15.8375","74.64583","Krishna","Krishna Upper","CGWB","0.7","0.08"
"2015-04-16","Kerala","32","Ernakulam","555","Valayanchirangara","10.06667","76.45417","West Flowing Rivers From Tadri To Kanyakumari","Periyar And Others","CGWB","7.82","-0.3"
"2017-11-04","Karnataka","29","Bengaluru Rural","526","Devanahalli A","13.25","77.7","East Flowing Rivers Between Pennar And Kanyakumari","Ponnaiyar And Other","CGWB","12.58","-2.75"
"2018-07-15","Rajasthan","8","Alwar","87","RAMGARH1","27.58333","76.80972","Ganga","Yamuna Middle","CGWB","27.77","11.05"
"2022-02-06","Uttar Pradesh","9","Deoria","137","Deoria2","26.52917","83.77222","Ganga","Ghaghara","CGWB","2.47","-0.83"
"2018-01-10","Jammu And Kashmir","1","Jammu","5","Maheen Charkan","32.64972","74.98667","Indus (Up To Border)","Chenab","CGWB","9.53","1.43"
"2013-01-04","Chhattisgarh","22","Jashpur","380","Bewrapali","22.90833","83.7475","Mahanadi","Mahanadi Middle","CGWB","3.65","-0.26"
"2016-05-14","Bihar","10","Darbhanga","195","Barhi Tola","26.0225","85.87972","Ganga","Kosi","CGWB","5.71","-0.92"
"2013-08-26","Odisha","21","Puri","369","P-36 Kumbharapada","19.81556","85.83194","Mahanadi","Mahanadi Lower","CGWB","3.4","-0.7"
"2018-08-30","Delhi","7","North","80","Jagatpur Pz-1","28.74333","77.22139","Ganga","Yamuna Upper","CGWB","1.65","-2.42"
"2019-11-28","Kerala","32","Pathanamthitta","564","Vakayar  (Valiakavu)","9.20111","76.84806","West Flowing Rivers From Tadri To Kanyakumari","Periyar And Others","CGWB","1.3","-0.7"
"2019-01-02","Madhya Pradesh","23","Rajgarh","422","Sandavta","23.83361","76.52556","Ganga","Kali Sindh And Others Up To Confluence With Parbati","CGWB","11.31","2.0"
"2014-11-04","Gujarat","24","Surat","459","Palsana","21.07778","72.99167","West Flowing Rivers From Tapi To Tadri","Bhatsol And Others","CGWB","1.73","0.69"
"2013-01-04","Madhya Pradesh","23","Umaria","436","Panpatha","23.86944","81.00472","Ganga","Sone","CGWB","12.62","2.05"
"2015-08-24","Karnataka","29","Chitradurga","533","Arehalli","14.03333","76.11667","Krishna","Tungabhadra Upper","CGWB","3.37","-0.51"
"2013-01-01","Maharashtra","27","Buldhana","472","Malkapur Pangra_Pz","20.07222","76.33389","Godavari","Godavari Middle","CGWB","3.0","1.0"
"2019-01-09","Odisha","21","Nabarangpur","366","Papadahandi1","19.35","82.52194","Godavari","Indravati","CGWB","6.25","4.5"
"2018-08-24","Kerala","32","Kollam","559","Neendakara1","8.92778","76.69167","West Flowing Rivers From Tadri To Kanyakumari","Periyar And Others","CGWB","0.75","0.03"
"2015-08-24","Andhra Pradesh","28","Guntur","506","Enugupalem 2010Pz","16.01861","79.82472","East Flowing Rivers Between Mahanadi And Pennar","East Flowing Rivers Between Krishna And Pennar","CGWB","3.24","-0.8"
"2020-07-11","Tamil Nadu","33","Sivaganga","585","Singapuneri","10.18417","78.42361","East Flowing Rivers Between Pennar And Kanyakumari","Pamba And Others","CGWB","9.8","1.34"
"2014-01-06","Odisha","21","Puri","369","P-22 Talabania","19.81778","85.85361","Mahanadi","Mahanadi Lower","CGWB","2.0","0.9"
"2013-05-14","Madhya Pradesh","23","Dewas","402","Pipri","22.39861","76.27806","Narmada","Narmada Middle","CGWB","4.13","1.68"
"2018-09-26","Tamil Nadu","33","Cuddalore","570","Maruthur2","11.49222","79.60278","East Flowing Rivers Between Pennar And Kanyakumari","Ponnaiyar And Other","CGWB","8.42","-35.0"
"2017-11-06","Odisha","21","Sambalpur","371","Gutanpada","21.38111","83.99611","Mahanadi","Mahanadi Lower","CGWB","1.12","0.77"
"2016-08-24","Madhya Pradesh","23","Chhindwara","399","Harrai(S)","22.61389","79.22","Narmada","Narmada Upper","CGWB","4.72","-2.68"
"2017-11-06","Kerala","32","Kottayam","560","Kalathipady","9.59","76.55444","West Flowing Rivers From Tadri To Kanyakumari","Periyar And Others","CGWB","7.8","1.5"
"2019-05-10","Madhya Pradesh","23","Ashoknagar","391","Mungaoli","24.40306","78.10944","Ganga","Yamuna Lower","CGWB","4.8","1.69"
"2017-05-14","Madhya Pradesh","23","Satna","426","Sagauni New","24.26417","81.20278","Ganga","Sone","CGWB","8.8","1.9"
"2013-08-24","Uttar Pradesh","9","Azamgarh","123","Ahraula","26.17639","82.90417","Ganga","Ghaghara Confluence To Gomti Confluence","CGWB","6.45","-2.14"
"2017-01-04","Chhattisgarh","22","Mahasamund","385","Saraipalli-D PZ","21.32028","83.04306","Mahanadi","Mahanadi Middle","CGWB","9.18","2.79"
"2017-01-06","West Bengal","19","Bankura","305","Sahebdi","23.38611","87.33056","Ganga","Damodar","CGWB","5.58","2.03"
"2019-08-27","Madhya Pradesh","23","Shivpuri","432","Badarwas","24.97472","77.56806","Ganga","Yamuna Lower","CGWB","3.85","-6.8"
"2019-04-04","Kerala","32","Kasaragod","558","Mogral (R1)","12.57472","74.95083","West Flowing Rivers From Tadri To Kanyakumari","Netravati And Others","CGWB","11.58","0.66"
"2013-08-24","Karnataka","29","Tumakuru","548","Hagalavadi1","13.5","76.76667","Krishna","Tungabhadra Lower","CGWB","48.47","0.17"
"2018-01-01","Kerala","32","Kozhikode","561","Kodencherry","11.43111","76.00667","West Flowing Rivers From Tadri To Kanyakumari","Varrar And Others","CGWB","1.05","0.09"
"2018-01-13","Madhya Pradesh","23","Rewa","424","Barduhawan","24.97306","81.39111","Ganga","Tons","CGWB","18.21","-0.2"
"2015-01-04","Haryana","6","Bhiwani","59","Jhumpa","28.76667","75.53333","Area Of Inland Drainage In Rajasthan","Area Of Inland Drainage In Rajasthan","CGWB","26.49","0.25"
"2016-05-14","Uttar Pradesh","9","Barabanki","129","Tikaitnagar","26.93917","81.56917","Ganga","Ghaghara","CGWB","8.35","1.43"
"2020-01-09","Madhya Pradesh","23","Ujjain","435","Unhel","23.33556","75.54944","Ganga","Chambal Upper","CGWB","4.1","2.3"
"2015-01-06","Odisha","21","Boudh","349","Singrachhak","20.80694","84.12889","Mahanadi","Mahanadi Lower","CGWB","2.61","1.16"
"2017-11-04","Rajasthan","8","Jaipur","102","Kheerwa","27.05389","75.40917","Ganga","Banas","CGWB","56.26","0.06"
"2017-12-31","Telangana","36","Adilabad","501","Chincholi Bk-DW13","19.14167","78.33944","Godavari","Pranhita And Others","CGWB","3.97","1.28"
"2018-11-27","Madhya Pradesh","23","Ujjain","435","Mahidpurtown","23.48944","75.66528","Ganga","Chambal Upper","CGWB","2.95","-4.03"
"2017-01-04","Punjab","3","Moga","38","Baraghar-Pz","30.76111","74.99167","Indus (Up To Border)","Sutlaj Lower","CGWB","21.7","-0.6"
"2020-04-10","Tamil Nadu","33","Thoothukkudi","594","Karisalkulam","9.15","78.16667","East Flowing Rivers Between Pennar And Kanyakumari","Vaippar And Others","CGWB","10.91","2.05"
"2014-04-16","Kerala","32","Kottayam","560","Madapally","9.69889","76.41944","West Flowing Rivers From Tadri To Kanyakumari","Periyar And Others","CGWB","2.61","0.75"
"2020-08-24","Madhya Pradesh","23","Umaria","436","Mahroi","23.95528","80.92639","Ganga","Sone","CGWB","2.47","-0.5"
